Carimbo de data/hora,Pontuação,"No geral, estou satisfeita ou satisfeito com quão fácil é utilizar o ViVAGAS ",É simples usar o ViVAGASUFCG,Pude concluir as atividades do cenários proposto de forma rápida,Pude concluir as atividades do cenários proposto de forma eficiente,Eu me sinto confortável utilizando o ViVAGASUFCG,Foi fácil aprender a utilizar o ViVAGASUFCG,Eu acredito que me tornei rapidamente produtiva ou produtivo utilizando este sistema,"O ViVAGAS exibe mensagens de erro que me dizem como corrigir/solucionar os problemas (Ex.: Erro ao fazer login com emails que não são @ccc, @copin, @computacao)","Sempre que cometo erros utilizando o sistema, consigo voltar a utilizar o ViVAGASUFCG com facilidade e rapidez","As informações fornecidas por este sistema (como ajuda on-line, mensagens na tela e outra documentação) são claras",É fácil encontrar a informação que preciso no ViVAGASUFCG,As informações providas pelo VIVAGASUFCG são fáceis de entender,As informações providas pelo ViVAGAS são eficazes em me ajudar a concluir o cenário proposto,A organização das informações nas telas do ViVAGASUFCG é clara,A interface do ViVAGASUFCG é agradável,Eu gosto de usar a interface do sistema,O ViVAGASUFCG possui as funcionalidades e recurso que eu espero que ele tenha,"No geral, estou satisfeita ou satisfeito com o ViVAGASUFCG",Alguma sugestão ou comentário? Fique livre para fazê-lo abaixo :)
02/11/2023 22:58:05,,5,7,6,4,7,7,6,3,7,5,5,6,6,7,7,7,7,7,Nada específico 
02/11/2023 22:59:27,,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,
02/11/2023 22:59:39,,7,7,7,7,7,7,6,6,7,7,6,6,7,7,4,5,7,6,"Na carga horária dos projetos está sendo mostrado o valor da bolsa. Tirando isso gostei, achei bem intuitivo e simples de usar."
02/11/2023 23:02:21,,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,6,"Como uma possível melhoria para o futuro poderia analisar se o site é acessível para os alunos PDC de computação(a fim de garantir a inclusão) e  ter um modo noturno como possibilidade de deixar ainda mais completo. Mas, amei muito a versão inicial! É fácil de entender como usar e a ideia é perfeita! Parabéns pela iniciativa do TCC! <3 "
02/11/2023 23:08:55,,7,7,7,7,7,7,7,4,4,4,7,7,7,7,7,7,7,7,
02/11/2023 23:24:38,,7,7,6,6,7,7,7,6,6,6,7,7,7,7,7,7,7,7,"Se voce colocar qualquer filtro e depois adicionar o nivel, o nivel não filtra
exemplo: 
1. quando seleciono a linguagem Python e depois o nivel avançado, a vaga do NuFuturo continua aparecendo
2. quando seleciono SPlab e depois o nivel avançado, o filtro de nivel nao é aplicado

Quando clico em cadatrar-se, sem fazer o cadastro, a mensagem de erro não me diz para fazer o cadastro, apenas: ""Ocorreu um erro ao enviar a inscrição. Por favor, tente novamente mais tarde."""
03/11/2023 10:20:20,,7,7,7,7,7,7,7,6,7,7,7,7,7,6,6,7,7,7,"Muito bom o aplicativo, vai ajudar muitas pessoas que buscam a sua primeira oportunidade."
03/11/2023 10:22:56,,6,7,6,7,7,7,6,7,6,6,7,7,7,7,7,7,7,7,
03/11/2023 12:21:23,,7,7,7,7,7,7,5,7,7,7,7,7,7,7,5,5,5,7,
03/11/2023 12:26:00,,6,6,3,4,7,6,5,7,5,7,7,5,6,6,7,7,6,7,
03/11/2023 12:49:40,,7,7,7,7,7,7,7,7,7,7,2,6,7,6,6,7,7,7,
03/11/2023 14:13:16,,7,7,7,6,7,7,7,6,7,7,7,7,7,7,7,7,7,7,"o sistema ficou muito bom e é muito amigável, parabéns! só tenho um apontamento: na interface não fica muito claro o fluxo de ter que se cadastrar antes de clicar no botão de candidatar. talvez seja melhor direcionar o usuário para a página de cadastro quando ele clicar em candidatar-se, se ele não tiver cadastro (ou na mensagem de erro indicar o que ele precisa fazer antes). parabéns pelo trabalho, eu usaria o ViVagas com certeza! "
